Longitude,Latitude,datetime,UHI Index,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12,NDVI,NDBI,NDWI,LST
-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,1036.9340450424102,1144.664521789997,1325.140099444282,1373.0324656332261,1644.4628546358585,2236.0693185141854,2455.611436092425,2466.095934483767,2552.886809008482,2305.2733255337816,1920.7968704299503,0.28471656973422166,-0.03370575618567695,-0.3009456084582937,37.14364039620819
-73.90918667,40.813045,24-07-2021 15:53,1.030288903,1036.9710229767306,1144.358700424411,1325.4627542806966,1372.9240450753696,1645.394702180594,2238.4201668374067,2458.6603248938973,2469.3206497877945,2556.6442265476367,2309.5117810624906,1923.7214986096883,0.28535314426440284,-0.03344098606463787,-0.3014290339418942,37.14760209012409
-73.909215,40.81297833,24-07-2021 15:53,1.023797758,1038.8015501608656,1145.0590816028077,1327.0880374378473,1374.0933021351273,1649.179292190699,2243.5526469727993,2464.6906990348057,2474.5301257677684,2563.0747294530565,2316.1420005849664,1928.2309154723603,0.28592998100421224,-0.03306177525936994,-0.3018299153333091,37.169066783216984
-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,1040.5730780473546,1146.855305466238,1329.966822566501,1376.3449283835137,1653.1596024554224,2249.6167787196728,2471.5926629640458,2482.4650686933646,2571.1058170125693,2323.4665302543117,1933.0064308681672,0.28664799281326575,-0.03308381219446981,-0.30230002240013953,37.18098339935725
-73.90925667,40.812845,24-07-2021 15:53,1.021634043,1041.853259280912,1149.6560947091493,1333.7056416252558,1380.4767611809411,1657.8213972522653,2255.5895936860566,2477.8465361005556,2488.39447529962,2578.136509792458,2331.205495469161,1938.8434668225666,0.2863671718179307,-0.03261452833924416,-0.3021084739672872,37.17372916359804
-73.90928,40.81277667,24-07-2021 15:53,1.021634043,1040.9861029842014,1147.4217378583967,1332.3981860737274,1378.80719719134,1658.302808660035,2260.721035693388,2484.268139262727,2495.1686658864833,2586.2495611468694,2336.4474839087184,1940.4030134581626,0.2881694435257035,-0.03285053635407122,-0.3037884182786426,37.195068464640215
-73.90931167,40.81271,24-07-2021 15:53,1.015142899,1041.5426651081239,1151.1632086499123,1337.2687025131502,1383.9050263004092,1664.5011689070718,2268.5580070134424,2492.5327293980126,2506.1510812390416,2595.7149327878433,2344.5163646990063,1944.8366452367036,0.2884909687455584,-0.03332215995870594,-0.3041256080502229,37.20760757626868
-73.90934,40.81264333,24-07-2021 15:53,1.015142899,1041.6090390522158,1150.297206377066,1336.947199063917,1383.1920432938423,1666.2650285212812,2273.8544683340647,2498.920871727366,2512.1861927746086,2603.29442738043,2349.7528155623813,1946.6166447272196,0.28982914650677,-0.03340917624299591,-0.3053256081492522,37.21050567717474
-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,1042.2197014051521,1149.5510831381732,1336.7785421545668,1382.8335772833723,1668.5742096018735,2279.032933255269,2505.0298594847777,2518.057962529274,2610.6797423887588,2355.6081674473066,1949.1422716627635,0.29101664931202487,-0.033332155045004676,-0.3064408617432638,37.21471996977725
-73.90938333,40.812485,24-07-2021 15:53,1.012979184,1042.0002923976608,1148.150292397661,1336.2194444444444,1381.6285087719298,1668.7390350877192,2284.026023391813,2511.570467836257,2525.064619883041,2618.1744152046786,2358.676023391813,1949.0078947368422,0.29268644182062564,-0.0340699084256968,-0.3078885561468413,37.21660517249692
-73.90939333,40.81240333,24-07-2021 15:53,1.010815469,1042.4554629223344,1148.0507532543513,1337.0234020769344,1381.4716981132076,1669.6355126517478,2289.4250402223197,2518.3805762761444,2532.732631271025,2625.6012871142316,2362.1096972356295,1949.6422407488665,0.2941238720000418,-0.034857697671224125,-0.3089882718419359,37.24651815498139
-73.90942,40.81233,24-07-2021 15:53,1.010815469,1042.2425084052038,1147.3272913316766,1337.004677678702,1380.160064318082,1670.6105832480632,2295.6281245431956,2526.303610583248,2540.959655021196,2634.589679871364,2365.3932173658823,1949.2299371436925,0.29603778353870625,-0.03578349177520442,-0.3104605597298731,37.25241995655089
