Longitude,Latitude,datetime,UHI Index,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12,NDVI,NDBI,NDWI,LST
-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,1000.5240963855422,967.5963855421687,1110.8373493975903,1206.813253012048,1440.6626506024097,1797.7289156626507,1919.4277108433735,1850.2228915662652,1974.186746987952,1852.5301204819277,1582.3915662650602,0.21046844333041695,0.0006231117517574605,-0.24970297190846658,38.087230772000005
-73.90918667,40.813045,24-07-2021 15:53,1.030288903,974.4942528735633,918.1379310344828,1057.442528735632,1129.6149425287356,1372.1896551724137,1782.0172413793102,1922.1494252873563,1875.603448275862,1982.9195402298851,1793.4137931034484,1500.6206896551723,0.2482310463790954,-0.022400999985902434,-0.2789458214950525,38.00672826285716
-73.909215,40.81297833,24-07-2021 15:53,1.023797758,956.2093023255813,890.8139534883721,1026.4883720930231,1082.3139534883721,1346.9767441860465,1792.1860465116279,1939.4476744186047,1890.9709302325582,2011.2209302325582,1759.6802325581396,1429.9127906976744,0.27197426697040505,-0.03596363821682021,-0.2963134935422866,37.84734273500001
-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,960.6176470588235,898.7941176470588,1029.5,1073.4705882352941,1341.5411764705882,1800.8470588235293,1954.264705882353,1908.9588235294118,2035.3235294117646,1747.7470588235294,1389.270588235294,0.28013680122600404,-0.04408660961328101,-0.299292546312793,37.79310201285716
-73.90925667,40.812845,24-07-2021 15:53,1.021634043,945.6309523809524,882.0119047619048,1011.2797619047619,1036.1011904761904,1307.1845238095239,1798.8511904761904,1959.2142857142858,1927.2083333333333,2047.1904761904761,1722.952380952381,1342.9285714285713,0.30071348797596,-0.0559580709916556,-0.31170062349847866,37.6143883957143
-73.90928,40.81277667,24-07-2021 15:53,1.021634043,964.6436781609195,944.1724137931035,1078.3045977011495,1103.6149425287356,1358.132183908046,1820.057471264368,1977.8850574712644,1970.7643678160919,2066.9310344827586,1767.0919540229886,1376.1264367816093,0.2820567463388554,-0.054489096491781,-0.2926991092061265,37.52683215125003
-73.90931167,40.81271,24-07-2021 15:53,1.015142899,959.5470588235294,930.6823529411764,1062.3647058823528,1079.4882352941177,1357.1,1806.4941176470588,1962.7411764705882,1944.8294117647058,2049.741176470588,1770.9588235294118,1378.5058823529412,0.28612774101693333,-0.04679238353353889,-0.2934511944885109,37.29151571600003
-73.90934,40.81264333,24-07-2021 15:53,1.015142899,989.0813953488372,993.1104651162791,1123.7558139534883,1150.9418604651162,1421.889534883721,1828.0988372093022,1974.2732558139535,1941.9651162790697,2063.953488372093,1840.1337209302326,1450.0523255813953,0.25575397571337266,-0.026924572765521754,-0.2668896879219577,37.237582208750034
-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,1000.6264367816092,1042.0,1174.1494252873563,1214.028735632184,1472.3505747126437,1819.8735632183907,1949.367816091954,1918.7758620689656,2039.6264367816093,1891.5344827586207,1514.9655172413793,0.2249572561767576,-0.0071493859672938365,-0.2407515111424107,37.237582208750034
-73.90938333,40.812485,24-07-2021 15:53,1.012979184,1022.3809523809524,1126.845238095238,1259.5357142857142,1312.7083333333333,1561.6964285714287,1848.8095238095239,1961.0119047619048,1947.4107142857142,2045.482142857143,1988.6845238095239,1627.8333333333333,0.19468687237538798,0.010485978368699972,-0.21449531986925705,37.044874898461565
