Longitude,Latitude,datetime,UHI Index,road_density
-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,4095.234025552619
-73.90918667,40.813045,24-07-2021 15:53,1.030288903,4095.234025552619
-73.909215,40.81297833,24-07-2021 15:53,1.023797758,4095.234025552619
-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,3669.52518081675
-73.90925667,40.812845,24-07-2021 15:53,1.021634043,3590.8046617325244
-73.90928,40.81277667,24-07-2021 15:53,1.021634043,3590.8046617325244
-73.90931167,40.81271,24-07-2021 15:53,1.015142899,3590.8046617325244
-73.90934,40.81264333,24-07-2021 15:53,1.015142899,3590.8046617325244
-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,3527.827735262561
-73.90938333,40.812485,24-07-2021 15:53,1.012979184,3377.2976792666436
-73.90939333,40.81240333,24-07-2021 15:53,1.010815469,3377.2976792666436
-73.90942,40.81233,24-07-2021 15:53,1.010815469,3339.153799993323
-73.90945333,40.81223667,24-07-2021 15:53,1.010815469,3339.153799993323
-73.90947667,40.81216333,24-07-2021 15:53,1.010815469,3316.420200780641
-73.90949333,40.81209333,24-07-2021 15:53,1.010815469,2385.7022086604306
-73.90952167,40.81203167,24-07-2021 15:53,1.010815469,2385.7022086604306
-73.90953,40.81198167,24-07-2021 15:53,1.010815469,2445.467294082429
-73.90954833,40.81194,24-07-2021 15:54,1.010815469,2335.8452862566587
-73.90956333,40.8119,24-07-2021 15:54,1.010815469,1678.24658618986
-73.90958167,40.81186333,24-07-2021 15:54,1.010815469,1678.24658618986
-73.9096,40.81181167,24-07-2021 15:54,1.012979184,2263.1529211763423
-73.909615,40.81175333,24-07-2021 15:54,1.012979184,2263.1529211763423
-73.90963167,40.8117,24-07-2021 15:54,1.012979184,2263.1529211763423
-73.90964667,40.81164333,24-07-2021 15:54,1.012979184,2263.1529211763423
-73.90966167,40.81157833,24-07-2021 15:54,1.012979184,2263.1529211763423
-73.909675,40.81151,24-07-2021 15:54,1.012979184,2263.1529211763423
-73.90969333,40.81144167,24-07-2021 15:54,1.012979184,2263.1529211763423
-73.909705,40.81137667,24-07-2021 15:54,1.012979184,2263.1529211763423
-73.90971333,40.81132,24-07-2021 15:54,1.012979184,2263.1529211763423
-73.909745,40.81123,24-07-2021 15:54,1.012979184,2263.1529211763423
-73.909755,40.81120333,24-07-2021 15:54,1.012979184,2263.1529211763423
-73.90977,40.81116167,24-07-2021 15:54,1.015142899,2263.1529211763423
-73.90978667,40.81111833,24-07-2021 15:54,1.015263105,2263.1529211763423
-73.90980833,40.81106,24-07-2021 15:54,1.015263105,2263.1529211763423
-73.909875,40.810865,24-07-2021 15:54,1.019590535,2276.6393680329893
-73.9099,40.81081,24-07-2021 15:54,1.019590535,2276.6393680329893
-73.90992833,40.81075333,24-07-2021 15:54,1.02175425,2907.6823238181896
-73.909965,40.810705,24-07-2021 15:54,1.02175425,2907.6823238181896
-73.90995167,40.81062833,24-07-2021 15:54,1.023917965,2907.6823238181896
-73.90991333,40.8106,24-07-2021 15:54,1.02175425,3728.4440287717402
-73.90974333,40.810515,24-07-2021 15:54,1.02175425,3667.7952306444354
-73.90966667,40.810495,24-07-2021 15:54,1.019590535,3667.7952306444354
-73.90959167,40.81047333,24-07-2021 15:54,1.019590535,3712.0471231465367
-73.90951833,40.810445,24-07-2021 15:54,1.019590535,3712.0471231465367
-73.90944,40.81042333,24-07-2021 15:54,1.019590535,3415.5366192739275
-73.909385,40.8104,24-07-2021 15:54,1.019590535,3415.5366192739275
-73.909345,40.81038,24-07-2021 15:54,1.019590535,3415.5366192739275
-73.90925333,40.81033333,24-07-2021 15:54,1.01742682,3415.5366192739275
-73.90922333,40.81030667,24-07-2021 15:54,1.019590535,3415.5366192739275
-73.90917333,40.81029333,24-07-2021 15:55,1.019590535,3415.5366192739275
-73.90911833,40.81028,24-07-2021 15:55,1.019590535,3415.5366192739275
-73.909055,40.81026167,24-07-2021 15:55,1.019590535,4024.3544365575713
-73.90897833,40.81023833,24-07-2021 15:55,1.019590535,4027.309535385941
-73.908895,40.81021833,24-07-2021 15:55,1.019590535,4087.2255384783953
-73.90871333,40.81017333,24-07-2021 15:55,1.02175425,4418.890025932538
-73.90862167,40.810155,24-07-2021 15:55,1.02175425,4437.235963153835
-73.90853667,40.81013833,24-07-2021 15:55,1.02175425,4437.235963153835
-73.90847,40.81012667,24-07-2021 15:55,1.023917965,4437.235963153835
-73.90843167,40.810125,24-07-2021 15:55,1.023917965,4869.445700064841
-73.90818333,40.81009667,24-07-2021 15:55,1.015263105,4432.754264115861
-73.9081,40.81007833,24-07-2021 15:55,1.015263105,4977.762181413127
-73.90800833,40.81006,24-07-2021 15:55,1.01309939,4977.762181413127
-73.90791833,40.81004,24-07-2021 15:55,1.01309939,4933.510288911025
-73.90782333,40.810025,24-07-2021 15:55,1.01309939,4933.510288911025
-73.907525,40.80997833,24-07-2021 15:55,1.010935675,4972.064680167181
-73.90740667,40.809905,24-07-2021 15:55,1.03269303,3994.6028262768314
-73.90739667,40.80987,24-07-2021 15:55,1.030529316,3994.6028262768314
-73.90739833,40.80982833,24-07-2021 15:55,1.030529316,3994.6028262768314
-73.90741167,40.80977667,24-07-2021 15:55,1.026201886,4495.33369218876
-73.907465,40.80964333,24-07-2021 15:55,1.026201886,4219.682513428661
-73.90749167,40.80957167,24-07-2021 15:55,1.026201886,4026.6646636309947
-73.90751833,40.80950167,24-07-2021 15:55,1.028365601,5065.526878460979
-73.90753833,40.80944167,24-07-2021 15:55,1.028365601,5262.19610017207
-73.90755,40.80939833,24-07-2021 15:55,1.028365601,5231.548131446949
-73.90761333,40.80920333,24-07-2021 15:55,1.04134789,5154.078386628085
-73.90763833,40.80913833,24-07-2021 15:55,1.04134789,5235.071052428416
-73.90766,40.80906667,24-07-2021 15:55,1.03702046,5300.040998257346
-73.90768,40.80899,24-07-2021 15:55,1.03702046,5135.630139115194
-73.90770167,40.80891167,24-07-2021 15:55,1.039184175,5135.630139115194
-73.90772667,40.808825,24-07-2021 15:55,1.039184175,5244.744890886097
-73.90775667,40.808735,24-07-2021 15:55,1.026201886,5244.744890886097
-73.907785,40.80864333,24-07-2021 15:55,1.026201886,5244.744890886097
-73.90781833,40.80855,24-07-2021 15:55,1.024038171,4331.723377881555
-73.90785667,40.80845667,24-07-2021 15:55,1.024038171,4651.402639304413
-73.90789333,40.80836,24-07-2021 15:55,1.024038171,4651.402639304413
-73.90792833,40.80826167,24-07-2021 15:55,1.024038171,4095.6747118496705
-73.90800833,40.80806667,24-07-2021 15:55,1.019710741,6809.260681783461
-73.90802667,40.80797667,24-07-2021 15:55,1.015383311,6948.335573855819
-73.90804667,40.807885,24-07-2021 15:55,1.015383311,9963.593658308742
-73.90808667,40.80778833,24-07-2021 15:55,1.006728452,10632.165786680382
-73.90813,40.80769167,24-07-2021 15:55,1.006728452,10113.915536741766
-73.90817333,40.80759667,24-07-2021 15:55,1.004564737,10113.915536741766
-73.90821333,40.8075,24-07-2021 15:55,1.004564737,10113.915536741766
-73.908245,40.80741333,24-07-2021 15:55,1.004564737,10113.915536741766
-73.90827,40.80732833,24-07-2021 15:55,1.004564737,11282.274715219351
-73.90829833,40.80723833,24-07-2021 15:55,1.000237307,11511.130640083866
-73.90836333,40.80704833,24-07-2021 15:56,1.000237307,11598.494830185984
-73.90839667,40.806955,24-07-2021 15:56,1.000357514,11598.494830185984
-73.90842833,40.80687167,24-07-2021 15:56,1.000357514,10428.424866770165
-73.908455,40.80679667,24-07-2021 15:56,1.004684943,9310.741545974939
-73.90848,40.80674,24-07-2021 15:56,1.004684943,9310.741545974939
-73.90849667,40.80669667,24-07-2021 15:56,1.004684943,9310.741545974939
-73.90853,40.80663333,24-07-2021 15:56,1.006848658,9361.18340043022
-73.90859333,40.80654167,24-07-2021 15:56,1.004684943,9232.423498816052
-73.90863333,40.80648333,24-07-2021 15:56,1.004684943,8860.746272440023
-73.908675,40.80643,24-07-2021 15:56,1.004684943,8860.746272440023
-73.90871333,40.80638833,24-07-2021 15:56,1.004684943,8776.363736368328
-73.90875333,40.80634667,24-07-2021 15:56,1.004684943,9344.181419361226
-73.9088,40.80631167,24-07-2021 15:56,1.004684943,9100.979524737095
-73.90885167,40.80628333,24-07-2021 15:56,1.004684943,9403.846187037223
-73.90889833,40.80626,24-07-2021 15:56,1.004684943,9403.846187037223
-73.90893667,40.80624833,24-07-2021 15:56,1.004684943,9403.846187037223
-73.90896333,40.80624333,24-07-2021 15:56,1.004684943,10422.433288968637
-73.909165,40.80621667,24-07-2021 15:56,1.015503518,11183.906743099631
-73.909225,40.806185,24-07-2021 15:56,1.015503518,11183.906743099631
-73.90930167,40.80615,24-07-2021 15:56,1.015503518,11293.140712376451
-73.90947667,40.80609667,24-07-2021 15:56,1.015503518,10421.93715296762
-73.90954667,40.80606833,24-07-2021 15:56,1.013339803,10102.257891544763
-73.909595,40.80603667,24-07-2021 15:56,1.013339803,10208.584551222722
-73.90964667,40.80601333,24-07-2021 15:56,1.011176088,10208.584551222722
-73.9097,40.80599,24-07-2021 15:56,1.011176088,9987.63414038969
-73.90976,40.80597167,24-07-2021 15:56,1.004684943,10543.689586332323
-73.90987167,40.80591167,24-07-2021 15:56,1.004684943,10543.689586332323
-73.90990833,40.80590333,24-07-2021 15:56,1.004684943,10543.689586332323
-73.90994667,40.805895,24-07-2021 15:56,1.002521229,10678.66983117582
-73.90998333,40.80588667,24-07-2021 15:57,1.002521229,13821.782587483201
-73.910005,40.80574833,24-07-2021 15:57,1.011296294,13876.036117886024
-73.90990833,40.80571167,24-07-2021 15:57,1.011296294,13821.782587483201
-73.90979167,40.80562667,24-07-2021 15:57,1.011296294,13821.782587483201
-73.90964,40.80555333,24-07-2021 15:57,1.013460009,10426.832838208744
-73.90940833,40.80539,24-07-2021 15:57,1.013460009,10409.375624270533
-73.90931,40.80531333,24-07-2021 15:57,1.011296294,10591.77480343263
-73.90921167,40.80523667,24-07-2021 15:57,1.011296294,10591.77480343263
