Longitude,Latitude,datetime,UHI Index,water
-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,0.0
-73.90918667,40.813045,24-07-2021 15:53,1.030288903,0.0
-73.909215,40.81297833,24-07-2021 15:53,1.023797758,0.0
-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,0.0
-73.90925667,40.812845,24-07-2021 15:53,1.021634043,0.0
-73.90928,40.81277667,24-07-2021 15:53,1.021634043,0.0
-73.90931167,40.81271,24-07-2021 15:53,1.015142899,0.0
-73.90934,40.81264333,24-07-2021 15:53,1.015142899,0.0
-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,0.0
-73.90938333,40.812485,24-07-2021 15:53,1.012979184,0.0
-73.90939333,40.81240333,24-07-2021 15:53,1.010815469,0.0
-73.90942,40.81233,24-07-2021 15:53,1.010815469,0.0
-73.90945333,40.81223667,24-07-2021 15:53,1.010815469,0.0
-73.90947667,40.81216333,24-07-2021 15:53,1.010815469,0.0
-73.90949333,40.81209333,24-07-2021 15:53,1.010815469,0.0
-73.90952167,40.81203167,24-07-2021 15:53,1.010815469,0.0
-73.90953,40.81198167,24-07-2021 15:53,1.010815469,0.0
-73.90954833,40.81194,24-07-2021 15:54,1.010815469,0.0
-73.90956333,40.8119,24-07-2021 15:54,1.010815469,0.0
-73.90958167,40.81186333,24-07-2021 15:54,1.010815469,0.0
-73.9096,40.81181167,24-07-2021 15:54,1.012979184,0.0
-73.909615,40.81175333,24-07-2021 15:54,1.012979184,0.0
-73.90963167,40.8117,24-07-2021 15:54,1.012979184,0.0
-73.90964667,40.81164333,24-07-2021 15:54,1.012979184,0.0
-73.90966167,40.81157833,24-07-2021 15:54,1.012979184,0.0
-73.909675,40.81151,24-07-2021 15:54,1.012979184,0.0
-73.90969333,40.81144167,24-07-2021 15:54,1.012979184,0.0
-73.909705,40.81137667,24-07-2021 15:54,1.012979184,0.0
-73.90971333,40.81132,24-07-2021 15:54,1.012979184,0.0
-73.909745,40.81123,24-07-2021 15:54,1.012979184,0.0
-73.909755,40.81120333,24-07-2021 15:54,1.012979184,0.0
-73.90977,40.81116167,24-07-2021 15:54,1.015142899,0.0
-73.90978667,40.81111833,24-07-2021 15:54,1.015263105,0.0
-73.90980833,40.81106,24-07-2021 15:54,1.015263105,0.0
-73.909875,40.810865,24-07-2021 15:54,1.019590535,0.0
-73.9099,40.81081,24-07-2021 15:54,1.019590535,0.0
-73.90992833,40.81075333,24-07-2021 15:54,1.02175425,0.0
-73.909965,40.810705,24-07-2021 15:54,1.02175425,0.0
-73.90995167,40.81062833,24-07-2021 15:54,1.023917965,0.0
-73.90991333,40.8106,24-07-2021 15:54,1.02175425,0.0
-73.90974333,40.810515,24-07-2021 15:54,1.02175425,0.0
-73.90966667,40.810495,24-07-2021 15:54,1.019590535,0.0
-73.90959167,40.81047333,24-07-2021 15:54,1.019590535,0.0
-73.90951833,40.810445,24-07-2021 15:54,1.019590535,0.0
-73.90944,40.81042333,24-07-2021 15:54,1.019590535,0.0
-73.909385,40.8104,24-07-2021 15:54,1.019590535,0.0
-73.909345,40.81038,24-07-2021 15:54,1.019590535,0.0
-73.90925333,40.81033333,24-07-2021 15:54,1.01742682,0.0
-73.90922333,40.81030667,24-07-2021 15:54,1.019590535,0.0
-73.90917333,40.81029333,24-07-2021 15:55,1.019590535,0.0
-73.90911833,40.81028,24-07-2021 15:55,1.019590535,0.0
-73.909055,40.81026167,24-07-2021 15:55,1.019590535,0.0
-73.90897833,40.81023833,24-07-2021 15:55,1.019590535,0.0
-73.908895,40.81021833,24-07-2021 15:55,1.019590535,0.0
-73.90871333,40.81017333,24-07-2021 15:55,1.02175425,0.0
-73.90862167,40.810155,24-07-2021 15:55,1.02175425,0.0
-73.90853667,40.81013833,24-07-2021 15:55,1.02175425,0.0
-73.90847,40.81012667,24-07-2021 15:55,1.023917965,0.0
-73.90843167,40.810125,24-07-2021 15:55,1.023917965,0.0
-73.90818333,40.81009667,24-07-2021 15:55,1.015263105,0.0
-73.9081,40.81007833,24-07-2021 15:55,1.015263105,0.0
-73.90800833,40.81006,24-07-2021 15:55,1.01309939,0.0
-73.90791833,40.81004,24-07-2021 15:55,1.01309939,0.0
-73.90782333,40.810025,24-07-2021 15:55,1.01309939,0.0
-73.907525,40.80997833,24-07-2021 15:55,1.010935675,0.0
-73.90740667,40.809905,24-07-2021 15:55,1.03269303,0.0
-73.90739667,40.80987,24-07-2021 15:55,1.030529316,0.0
-73.90739833,40.80982833,24-07-2021 15:55,1.030529316,0.0
-73.90741167,40.80977667,24-07-2021 15:55,1.026201886,0.0
-73.907465,40.80964333,24-07-2021 15:55,1.026201886,0.0
-73.90749167,40.80957167,24-07-2021 15:55,1.026201886,0.0
-73.90751833,40.80950167,24-07-2021 15:55,1.028365601,0.0
-73.90753833,40.80944167,24-07-2021 15:55,1.028365601,0.0
-73.90755,40.80939833,24-07-2021 15:55,1.028365601,0.0
-73.90761333,40.80920333,24-07-2021 15:55,1.04134789,0.0
-73.90763833,40.80913833,24-07-2021 15:55,1.04134789,0.0
-73.90766,40.80906667,24-07-2021 15:55,1.03702046,0.0
-73.90768,40.80899,24-07-2021 15:55,1.03702046,0.0
-73.90770167,40.80891167,24-07-2021 15:55,1.039184175,0.0
-73.90772667,40.808825,24-07-2021 15:55,1.039184175,0.0
-73.90775667,40.808735,24-07-2021 15:55,1.026201886,0.0
-73.907785,40.80864333,24-07-2021 15:55,1.026201886,0.0
-73.90781833,40.80855,24-07-2021 15:55,1.024038171,0.0
-73.90785667,40.80845667,24-07-2021 15:55,1.024038171,0.0
-73.90789333,40.80836,24-07-2021 15:55,1.024038171,0.0
-73.90792833,40.80826167,24-07-2021 15:55,1.024038171,0.0
-73.90800833,40.80806667,24-07-2021 15:55,1.019710741,0.0
-73.90802667,40.80797667,24-07-2021 15:55,1.015383311,0.0
-73.90804667,40.807885,24-07-2021 15:55,1.015383311,0.0
-73.90808667,40.80778833,24-07-2021 15:55,1.006728452,0.0
-73.90813,40.80769167,24-07-2021 15:55,1.006728452,0.0
