Longitude,Latitude,datetime,UHI Index,green_space
-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,185571.89800454944
-73.90918667,40.813045,24-07-2021 15:53,1.030288903,189946.3523682342
-73.909215,40.81297833,24-07-2021 15:53,1.023797758,194989.48163092913
-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,200157.26123074407
-73.90925667,40.812845,24-07-2021 15:53,1.021634043,204423.999903943
-73.90928,40.81277667,24-07-2021 15:53,1.021634043,209362.9124690566
-73.90931167,40.81271,24-07-2021 15:53,1.015142899,214604.8041486457
-73.90934,40.81264333,24-07-2021 15:53,1.015142899,219704.29682262216
-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,225433.25403997258
-73.90938333,40.812485,24-07-2021 15:53,1.012979184,229555.96760076907
-73.90939333,40.81240333,24-07-2021 15:53,1.010815469,232512.69335340013
-73.90942,40.81233,24-07-2021 15:53,1.010815469,235381.22758489102
-73.90945333,40.81223667,24-07-2021 15:53,1.010815469,237934.82786574014
-73.90947667,40.81216333,24-07-2021 15:53,1.010815469,239196.2923571331
-73.90949333,40.81209333,24-07-2021 15:53,1.010815469,240079.83364804715
-73.90952167,40.81203167,24-07-2021 15:53,1.010815469,241029.03701634763
-73.90953,40.81198167,24-07-2021 15:53,1.010815469,241490.33446904103
-73.90954833,40.81194,24-07-2021 15:54,1.010815469,242038.29190041785
-73.90956333,40.8119,24-07-2021 15:54,1.010815469,242468.20291218124
-73.90958167,40.81186333,24-07-2021 15:54,1.010815469,242865.75311730753
-73.9096,40.81181167,24-07-2021 15:54,1.012979184,243229.28276464692
-73.909615,40.81175333,24-07-2021 15:54,1.012979184,243508.76316377337
-73.90963167,40.8117,24-07-2021 15:54,1.012979184,243787.8237425336
-73.90964667,40.81164333,24-07-2021 15:54,1.012979184,244073.97014260732
-73.90966167,40.81157833,24-07-2021 15:54,1.012979184,244411.55838066587
-73.909675,40.81151,24-07-2021 15:54,1.012979184,244774.24064674694
-73.90969333,40.81144167,24-07-2021 15:54,1.012979184,245235.47966176074
-73.909705,40.81137667,24-07-2021 15:54,1.012979184,245580.19924361887
-73.90971333,40.81132,24-07-2021 15:54,1.012979184,245835.54690787185
-73.909745,40.81123,24-07-2021 15:54,1.012979184,246408.2370297202
-73.909755,40.81120333,24-07-2021 15:54,1.012979184,246568.72139127908
-73.90977,40.81116167,24-07-2021 15:54,1.015142899,246797.58042494883
-73.90978667,40.81111833,24-07-2021 15:54,1.015263105,247003.4453763336
-73.90980833,40.81106,24-07-2021 15:54,1.015263105,247183.99315138353
-73.909875,40.810865,24-07-2021 15:54,1.019590535,245636.128759502
-73.9099,40.81081,24-07-2021 15:54,1.019590535,244799.47197059958
-73.90992833,40.81075333,24-07-2021 15:54,1.02175425,243861.0298999639
